# x	y	u	v	mask
  2.1550	  4.4758	 -0.0092	  0.0045	  0.0000
  2.3208	  4.4758	 -0.0009	  0.0038	  0.0000
  2.4865	  4.4758	 -0.0171	  0.0016	  0.0000
  2.6523	  4.4758	  0.0002	  0.0015	  0.0000
  2.8181	  4.4758	  0.0008	  0.0023	  0.0000
  2.9838	  4.4758	  0.0027	 -0.0023	  0.0000
  3.1496	  4.4758	  0.0031	 -0.0055	  0.0000
  3.3154	  4.4758	  0.0021	  0.0009	  0.0000
  3.4811	  4.4758	 -0.0020	 -0.0008	  0.0000
  3.6469	  4.4758	 -0.0015	 -0.0010	  0.0000
  3.8127	  4.4758	 -0.0059	  0.0033	  0.0000
  3.9785	  4.4758	 -0.0024	  0.0033	  0.0000
  4.1442	  4.4758	 -0.0039	 -0.0026	  0.0000
  4.3100	  4.4758	 -0.0022	  0.0002	  0.0000
  4.4758	  4.4758	 -0.0030	  0.0027	  0.0000
  4.6415	  4.4758	 -0.0113	 -0.0064	  0.0000
  4.8073	  4.4758	 -0.0111	  0.0072	  0.0000
  4.9731	  4.4758	  0.0046	  0.0142	  0.0000
  5.1388	  4.4758	 -0.0005	  0.0134	  0.0000
  5.3046	  4.4758	 -0.0026	  0.0043	  0.0000
  5.4704	  4.4758	  0.0044	  0.0110	  0.0000
  5.6361	  4.4758	  0.0039	  0.0154	  0.0000
  5.8019	  4.4758	 -0.0488	 -0.0238	  0.0000
  5.9677	  4.4758	  0.0000	 -0.0000	  0.0000
  6.1334	  4.4758	 -0.0158	 -0.0065	  0.0000
  6.2992	  4.4758	 -0.0160	 -0.0059	  0.0000
  6.4650	  4.4758	 -0.0192	 -0.0083	  0.0000
  0.1658	  4.3100	 -0.0022	  0.0022	  0.0000
  0.3315	  4.3100	 -0.0090	  0.0056	  0.0000
  0.4973	  4.3100	 -0.0094	  0.0117	  0.0000
  0.6631	  4.3100	 -0.0056	  0.0163	  0.0000
  0.8288	  4.3100	  0.0057	  0.0458	  0.0000
  0.9946	  4.3100	 -0.0086	 -0.0071	  0.0000
  1.1604	  4.3100	  0.0184	  0.0042	  0.0000
  1.3262	  4.3100	  0.0056	  0.0056	  0.0000
  1.4919	  4.3100	  0.0107	 -0.0016	  0.0000
  1.6577	  4.3100	  0.0060	 -0.0007	  0.0000
  1.8235	  4.3100	 -0.0029	  0.0024	  0.0000
  1.9892	  4.3100	 -0.0099	  0.0051	  0.0000
  2.1550	  4.3100	 -0.0055	  0.0066	  0.0000
  2.3208	  4.3100	 -0.0018	  0.0020	  0.0000
  2.4865	  4.3100	 -0.0039	  0.0002	  0.0000
  2.6523	  4.3100	 -0.0010	  0.0021	  0.0000
  2.8181	  4.3100	 -0.0013	  0.0021	  0.0000
  2.9838	  4.3100	  0.0024	 -0.0024	  0.0000
  3.1496	  4.3100	  0.0001	 -0.0025	  0.0000
  3.3154	  4.3100	 -0.0066	  0.0008	  0.0000
  3.4811	  4.3100	 -0.0104	  0.0028	  0.0000
  3.6469	  4.3100	 -0.0002	  0.0075	  0.0000
  3.8127	  4.3100	 -0.0052	  0.0058	  0.0000
  3.9785	  4.3100	 -0.0033	 -0.0010	  0.0000
  4.1442	  4.3100	  0.0022	 -0.0050	  0.0000
  4.3100	  4.3100	  0.0037	 -0.0075	  0.0000
  4.4758	  4.3100	 -0.0031	 -0.0049	  0.0000
  4.6415	  4.3100	 -0.0112	 -0.0036	  0.0000
  4.8073	  4.3100	 -0.0033	  0.0001	  0.0000
  4.9731	  4.3100	  0.0054	  0.0077	  0.0000
  5.1388	  4.3100	 -0.0022	  0.0076	  0.0000
  5.3046	  4.3100	  0.0021	  0.0035	  0.0000
  5.4704	  4.3100	  0.0009	  0.0103	  0.0000
  5.6361	  4.3100	  0.0097	 -0.0088	  0.0000
  5.8019	  4.3100	 -0.0113	 -0.0058	  0.0000
  5.9677	  4.3100	 -0.0221	  0.0293	  0.0000
  6.1334	  4.3100	  0.0003	 -0.0000	  0.0000
  6.2992	  4.3100	 -0.0259	 -0.0051	  0.0000
  6.4650	  4.3100	 -0.0311	 -0.0076	  0.0000
  0.1658	  4.1442	 -0.0101	 -0.0092	  0.0000
  0.3315	  4.1442	 -0.0120	 -0.0044	  0.0000
  0.4973	  4.1442	 -0.0072	  0.0000	  0.0000
  0.6631	  4.1442	 -0.0272	  0.0084	  0.0000
  0.8288	  4.1442	 -0.0218	  0.0179	  0.0000
  0.9946	  4.1442	  0.0109	  0.0320	  0.0000
  1.1604	  4.1442	  0.0102	  0.0309	  0.0000
  1.3262	  4.1442	  0.1478	  0.0633	  0.0000
  1.4919	  4.1442	 -0.0378	  0.0552	  0.0000
  1.6577	  4.1442	 -0.0360	 -0.0019	  0.0000
  1.8235	  4.1442	  0.0016	 -0.0013	  0.0000
  1.9892	  4.1442	  0.0107	  0.0024	  0.0000
  2.1550	  4.1442	  0.0041	  0.0021	  0.0000
  2.3208	  4.1442	 -0.0034	 -0.0006	  0.0000
  2.4865	  4.1442	 -0.0006	 -0.0014	  0.0000
  2.6523	  4.1442	  0.0019	 -0.0013	  0.0000
  2.8181	  4.1442	  0.0005	 -0.0006	  0.0000
  2.9838	  4.1442	  0.0022	 -0.0020	  0.0000
  3.1496	  4.1442	 -0.0049	 -0.0029	  0.0000
  3.3154	  4.1442	 -0.0071	 -0.0019	  0.0000
  3.4811	  4.1442	 -0.0034	 -0.0041	  0.0000
  3.6469	  4.1442	  0.0025	 -0.0010	  0.0000
  3.8127	  4.1442	  0.0010	  0.0028	  0.0000
  3.9785	  4.1442	 -0.0018	  0.0016	  0.0000
  4.1442	  4.1442	 -0.0049	  0.0006	  0.0000
  4.3100	  4.1442	 -0.0004	 -0.0008	  0.0000
  4.4758	  4.1442	  0.0028	  0.0015	  0.0000
  4.6415	  4.1442	 -0.0039	 -0.0008	  0.0000
  4.8073	  4.1442	  0.0002	 -0.0009	  0.0000
  4.9731	  4.1442	  0.0086	  0.0012	  0.0000
